,timestep,Chord_vector,Chord_label
1196,111.0843,"[5, 7, 0, 4]",N
1197,111.1771,"[5, 7, 0, 4]",N
1198,111.27,"[5, 7, 0, 4]",N
1199,111.3629,"[5, 7, 0, 4]",N
1200,111.4558,"[5, 5, 4, 4]",F:sus2
1201,111.5487,"[5, 5, 4, 4]",F:sus2
1202,111.6415,"[5, 5, 4, 4]",F:sus2
1203,111.7344,"[5, 5, 4, 4]",F:sus2
1204,111.8273,"[5, 5, 4, 4]",F:sus2
1205,111.9202,"[5, 5, 4, 4]",F:sus2
1206,112.0131,"[5, 5, 4, 4]",F:sus2
1207,112.1059,"[5, 5, 4, 4]",F:sus2
1208,112.1988,"[10, 5, 4, 4]",A#:sus2/5
1209,112.2917,"[10, 5, 4, 4]",A#:sus2/5
1210,112.3846,"[10, 5, 4, 4]",A#:sus2/5
1211,112.4775,"[10, 10, 4, 4]",A#:sus2
1212,112.5703,"[10, 10, 4, 4]",A#:sus2
1213,112.6632,"[10, 10, 4, 4]",A#:sus2
1214,112.7561,"[10, 10, 4, 4]",A#:sus2
1215,112.849,"[10, 10, 4, 4]",A#:sus2
1216,112.9419,"[10, 10, 4, 4]",A#:sus2
1217,113.0347,"[10, 10, 4, 4]",A#:sus2
1218,113.1276,"[10, 10, 4, 4]",A#:sus2
1219,113.2205,"[10, 10, 4, 4]",A#:sus2
1220,113.3134,"[10, 10, 4, 4]",A#:sus2
1221,113.4063,"[10, 10, 4, 4]",A#:sus2
1222,113.4991,"[10, 10, 4, 4]",A#:sus2
1223,113.592,"[10, 10, 4, 4]",A#:sus2
1224,113.6849,"[10, 10, 4, 4]",A#:sus2
1225,113.7778,"[10, 10, 4, 4]",A#:sus2
1226,113.8707,"[10, 10, 4, 4]",A#:sus2
1227,113.9635,"[10, 10, 4, 4]",A#:sus2
1228,114.0564,"[10, 10, 4, 4]",A#:sus2
1229,114.1493,"[10, 10, 4, 4]",A#:sus2
1230,114.2422,"[10, 10, 4, 4]",A#:sus2
1231,114.3351,"[10, 10, 4, 4]",A#:sus2
1232,114.4279,"[10, 10, 4, 4]",A#:sus2
1233,114.5208,"[10, 10, 4, 4]",A#:sus2
1234,114.6137,"[10, 10, 4, 4]",A#:sus2
1235,114.7066,"[10, 10, 4, 4]",A#:sus2
1236,114.7995,"[10, 10, 4, 4]",A#:sus2
1237,114.8923,"[10, 10, 4, 4]",A#:sus2
1238,114.9852,"[10, 10, 4, 4]",A#:sus2
1239,115.0781,"[10, 10, 4, 4]",A#:sus2
1240,115.171,"[10, 10, 4, 4]",A#:sus2
1241,115.2639,"[10, 10, 4, 4]",A#:sus2
1242,115.3567,"[10, 10, 4, 4]",A#:sus2
1243,115.4496,"[10, 10, 4, 4]",A#:sus2
1244,115.5425,"[10, 10, 4, 4]",A#:sus2
1245,115.6354,"[10, 10, 4, 4]",A#:sus2
1246,115.7283,"[10, 10, 4, 4]",A#:sus2
1247,115.8211,"[10, 10, 4, 4]",A#:sus2
1248,115.914,"[10, 10, 4, 4]",A#:sus2
1249,116.0069,"[10, 10, 4, 4]",A#:sus2
1250,116.0998,"[10, 10, 4, 4]",A#:sus2
1251,116.1927,"[10, 10, 4, 4]",A#:sus2
1252,116.2855,"[10, 10, 4, 4]",A#:sus2
1253,116.3784,"[10, 10, 4, 4]",A#:sus2
1254,116.4713,"[10, 10, 4, 4]",A#:sus2
1255,116.5642,"[10, 10, 4, 4]",A#:sus2
1256,116.6571,"[10, 10, 4, 4]",A#:sus2
1257,116.7499,"[10, 10, 4, 4]",A#:sus2
1258,116.8428,"[10, 10, 4, 4]",A#:sus2
1259,116.9357,"[10, 10, 4, 4]",A#:sus2
1260,117.0286,"[10, 10, 4, 4]",A#:sus2
1261,117.1215,"[10, 10, 4, 4]",A#:sus2
